goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1129902324 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1043104977 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1038443537 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1042590481 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1045496651 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1060123721 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1036766531 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1023598734 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1075419506 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1022284800 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1069409464 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1047370212 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1045969906 ns/op	1121175704 B/op	      26 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1031045919 ns/op	1121175704 B/op	      26 allocs/op
