goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	4558862210 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	4511021891 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	4460687063 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	4540571713 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	4505489930 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	4512379597 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	4464475798 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	4476480603 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	4504725804 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	4541500280 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	4511022880 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	4531801137 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	4588115454 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	4543393372 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	4551740877 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	4521184950 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	4513635932 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	4524975460 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	4496087628 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	4565604906 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	4468936475 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	4504200230 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	4529545666 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	4542611849 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	4586818361 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	4716579142 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	4702464599 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	4539200661 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	4497759735 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	4516242101 ns/op	2494472984 B/op	     704 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	14507805295 ns/op	3742422832 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	5680902168 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	14116066268 ns/op	3742422832 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	26499444208 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	38301422545 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	15908560449 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	4312370189 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	20249524935 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	25926961627 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	16555546726 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	8231166346 ns/op	2494474024 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	35790914037 ns/op	2494474024 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	31047581747 ns/op	2494474024 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	6714133617 ns/op	2494474040 B/op	     724 allocs/op
