goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=sweep-128         	       1	381352679371 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=sweep-128         	       1	334975325317 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=sweep-128         	       1	275051586598 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=sweep-128         	       1	251629872525 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=sweep-128         	       1	254281603962 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=sweep-128         	       1	240188706450 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=sweep-128         	       1	257933458022 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=sweep-128         	       1	238698074642 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=sweep-128         	       1	250373246976 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=sweep-128         	       1	281882258248 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=parallel-128      	       1	261589384329 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=parallel-128      	       1	245918402947 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=parallel-128      	       1	246746594225 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=parallel-128      	       1	267493072170 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=parallel-128      	       1	231174130418 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=parallel-128      	       1	236490372043 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=parallel-128      	       1	231162947055 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=parallel-128      	       1	239383542103 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=parallel-128      	       1	253454776015 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=parallel-128      	       1	230827792003 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=mixed-128         	       1	261851822140 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=mixed-128         	       1	228803004161 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=mixed-128         	       1	243624266119 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=mixed-128         	       1	233369555265 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=mixed-128         	       1	260290973409 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=mixed-128         	       1	261276318598 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=mixed-128         	       1	255338976238 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=mixed-128         	       1	260174354227 ns/op	72909073880 B/op	   14952 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=1/reduction=mixed-128         	       1	254018047478 ns/op	72909073880 B/op	   14952 allocs/op
