goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	3043288908 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	3520046117 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	2372280492 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	2431058987 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	2392183556 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	2674846953 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	2577134254 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	2934449901 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	2346116223 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	2457675611 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	2381984399 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	2826432032 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	2412531004 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	3222306381 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	3083246530 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	2917590361 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	2382341037 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	2806957956 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	2356847476 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	2368600781 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	2406091053 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	2775325443 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	2525042071 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	2359064032 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	2477291178 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	2431456846 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	2372666045 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	2897899435 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	2643918978 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	2370997156 ns/op	769344104 B/op	      40 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	3838789548 ns/op	1330422656 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	1990969934 ns/op	1330422656 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	4626610938 ns/op	1330422656 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	4327371144 ns/op	1330422656 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	1704707049 ns/op	1330422656 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	2605996427 ns/op	1330422656 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	1804638582 ns/op	1330422656 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	2714239085 ns/op	1330422672 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	2980556739 ns/op	1330422672 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	3578693365 ns/op	1330422672 B/op	    1156 allocs/op
