goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	14995898778 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	13476982177 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	12889851173 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	12791875072 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	17538686703 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	15138156541 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	15526194061 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	14307162072 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	12572846952 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	15418534776 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	14609586135 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	17551924512 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	13397507193 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	13129599312 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	12915614042 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	13088686345 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	12790880127 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	14309865791 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	15711099268 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	12812223123 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	14180710613 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	17730428222 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	15308188892 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	12932001682 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	18891244616 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	12838663530 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	12701724355 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	15358925986 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	15751972412 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=1/reduction=mixed-128            	       1	19150816673 ns/op	5204034600 B/op	    1394 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	13851298387 ns/op	7165037760 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	15387851350 ns/op	7165037760 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	8904157536 ns/op	7165037760 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	16183529424 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	14790796015 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	14398895807 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	13590152822 ns/op	7165037760 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	12452124962 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	14927209128 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	23930882761 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	11738508232 ns/op	5204036624 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	19481922054 ns/op	5204036624 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	10911972805 ns/op	5204036624 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	10405175987 ns/op	5204036608 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	14588021809 ns/op	5204036624 B/op	    1422 allocs/op
