goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1267734608 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1236345260 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1254485755 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1246687957 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1230524659 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1265452773 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1273860435 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1260319935 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1233642074 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=sweep-128      	       1	1299406439 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1262100642 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1282128921 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1291702837 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1326436337 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1268831614 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1329339271 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1277863234 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1260407372 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1309163594 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=parallel-128   	       1	1274729484 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	1260445519 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	1324796595 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	1288890424 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	1278999280 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	1360014770 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	1363780624 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	1282143236 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	1294521564 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	1244126287 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=1/reduction=mixed-128      	       1	1262195108 ns/op	1869469752 B/op	     380 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	4815252344 ns/op	2525957776 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	1662980700 ns/op	2525957776 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	2984374333 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	6274851148 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	6270196910 ns/op	2525957776 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	3179534084 ns/op	2525957776 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	4604821254 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	2214536715 ns/op	2525957776 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	2312563112 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	7496275848 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2260062032 ns/op	1870519552 B/op	     401 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	4852220761 ns/op	1870519536 B/op	     401 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	1891928231 ns/op	1870519552 B/op	     401 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	1847601988 ns/op	1870519552 B/op	     401 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	5110919986 ns/op	1870519536 B/op	     401 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	10564387786 ns/op	1870519536 B/op	     401 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	1960849039 ns/op	1870519536 B/op	     401 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	6378526435 ns/op	1870519552 B/op	     401 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	4155772672 ns/op	1870519536 B/op	     401 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	7434053825 ns/op	1870519552 B/op	     401 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	1670156824 ns/op	2525957776 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	4510284776 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	2968994787 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	5331331537 ns/op	2525957776 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	1663175213 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	2714374802 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	3332235393 ns/op	2525957776 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	2866663808 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	6764031053 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	3264142807 ns/op	2525957792 B/op	    1655 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	4118895390 ns/op	2307834616 B/op	    1250 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	2774945656 ns/op	2307834616 B/op	    1250 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3059529493 ns/op	2307834632 B/op	    1250 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	2379781681 ns/op	2307834616 B/op	    1250 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	5704276899 ns/op	2307834616 B/op	    1250 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	1733835500 ns/op	2307834616 B/op	    1250 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	6786756438 ns/op	2307834632 B/op	    1250 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	4280707079 ns/op	2307834616 B/op	    1250 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	6139748540 ns/op	2307834616 B/op	    1250 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3729332613 ns/op	2307834616 B/op	    1250 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3977752707 ns/op	1870528280 B/op	     428 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3635576443 ns/op	1870528280 B/op	     428 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	2685707786 ns/op	1870528248 B/op	     428 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	5155891137 ns/op	1870528264 B/op	     428 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	2496161526 ns/op	1870528280 B/op	     428 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	2630932022 ns/op	1870528280 B/op	     428 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	1846928595 ns/op	1870528280 B/op	     428 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	5521395153 ns/op	1870528280 B/op	     428 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	4059870029 ns/op	1870528264 B/op	     428 allocs/op
BenchmarkParseOnly/strategy=OPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	4293466946 ns/op	1870528264 B/op	     428 allocs/op
