goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	5235045962 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	5213698623 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	5332334329 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	5219287933 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	5210155864 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	5279733507 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	5341414782 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	5315065891 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	5375069218 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=sweep-128 	       1	5311826519 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	5264043124 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	5293423915 ns/op	3563430648 B/op	     702 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=1/reduction=parallel-128         	       1	5360209904 ns/op	3563430648 B/op	     702 allocs/op
