goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	18093214354 ns/op	6073853944 B/op	    5555 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	12911351929 ns/op	6073469912 B/op	    5192 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	17498233048 ns/op	6073474808 B/op	    5191 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	9880218439 ns/op	6073414728 B/op	    5120 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	9277314720 ns/op	6073414792 B/op	    5124 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	10004638329 ns/op	6073417128 B/op	    5127 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	8744596436 ns/op	6073414808 B/op	    5125 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	11413145808 ns/op	6073414648 B/op	    5115 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	9144889022 ns/op	6073414712 B/op	    5119 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	9107318294 ns/op	6073414680 B/op	    5117 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	8146248709 ns/op	6073414040 B/op	    5114 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	9420176981 ns/op	6073414040 B/op	    5114 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	8491704260 ns/op	6073414024 B/op	    5113 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	8839510326 ns/op	6073414072 B/op	    5116 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	8806302698 ns/op	6073414680 B/op	    5117 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	8733190916 ns/op	6073414664 B/op	    5116 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	8416105677 ns/op	6073414104 B/op	    5113 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	8663044033 ns/op	6073414024 B/op	    5113 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	9074473065 ns/op	6073414696 B/op	    5118 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	8479738299 ns/op	6073414648 B/op	    5115 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	8959894913 ns/op	6073419640 B/op	    5120 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	8273396853 ns/op	6073414648 B/op	    5115 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	8357188743 ns/op	6073414024 B/op	    5113 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	8324072636 ns/op	6073414648 B/op	    5115 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	8652647505 ns/op	6073414776 B/op	    5118 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	8780453202 ns/op	6073414664 B/op	    5116 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	9102201313 ns/op	6073414648 B/op	    5115 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=1/reduction=mixed-128         	       1	8542138792 ns/op	6073414664 B/op	    5116 allocs/op
